site,severity,duration,start,end
9255000,28.0,15,1996-11-16,1996-11-30
9255000,20.0,11,1999-04-21,1999-05-01
9255000,15.0,7,1999-05-14,1999-05-20
9255000,129.0,45,1999-12-15,2000-01-28
9255000,2983.0,297,2000-05-31,2001-03-28
9255000,10068.0,577,2001-07-07,2003-02-03
9255000,557.0,98,2003-11-22,2004-03-03
9255000,171.0,40,2004-05-27,2004-07-05
9255000,4.0,5,2007-06-04,2007-06-08
9255000,154.0,110,2007-06-18,2007-10-05
9255000,169.0,21,2008-03-23,2008-04-14
9255000,1300.0,110,2010-02-04,2010-05-24
9255000,130.0,24,2011-03-08,2011-03-31
9255000,10356.0,386,2012-05-09,2013-05-29
9255000,77.0,25,2017-01-29,2017-02-26
9255000,104.0,15,2017-05-03,2017-05-19
9255000,1022.0,70,2018-03-14,2018-05-22
9255000,4388.0,315,2018-06-09,2019-04-20
9255000,829.0,107,2019-12-06,2020-03-22
9255000,8008.0,408,2020-10-05,2021-11-16
9255000,42.0,14,2022-03-20,2022-04-02
9255000,190.0,27,2022-05-08,2022-06-03
10256500,7.0,9,1987-08-28,1987-09-05
10256500,22.0,27,1987-10-16,1987-11-12
10256500,323.0,55,1989-02-14,1989-04-13
10256500,9918.0,685,1989-04-16,1991-03-04
10256500,32.0,7,1991-03-08,1991-03-16
10256500,10365.0,699,1999-05-19,2001-04-22
10256500,52.0,61,2001-05-09,2001-07-10
10256500,11662.0,614,2001-07-20,2003-04-10
10256500,2360.0,297,2004-01-21,2004-11-18
10256500,8758.0,403,2007-02-14,2008-03-24
10256500,19.0,22,2008-10-21,2008-11-11
10256500,380.0,50,2008-12-26,2009-02-15
10256500,11.0,8,2009-02-18,2009-02-27
10256500,16105.0,712,2013-03-27,2015-03-11
10256500,657.0,118,2015-03-15,2015-07-10
10256500,7.0,9,2016-07-01,2016-07-09
10256500,16.0,22,2016-08-14,2016-09-04
10256500,59.0,40,2016-10-03,2016-11-11
10256500,83.0,14,2016-12-09,2016-12-23
10256500,107.0,17,2016-12-25,2017-01-11
10256500,6101.0,323,2018-03-17,2019-02-04
10256500,85.0,6,2019-02-06,2019-02-13
10256500,10648.0,654,2021-04-10,2023-01-26
9382000,16530.0,1095,1989-02-01,1992-02-02
9382000,6834.0,425,1996-02-24,1997-05-03
9382000,1284.0,201,2000-04-28,2000-11-16
9382000,14471.0,853,2002-01-15,2004-06-01
9382000,160.0,76,2004-08-20,2004-11-03
9382000,72.0,48,2007-11-05,2007-12-22
9382000,4023.0,473,2008-11-17,2010-03-07
9382000,2974.0,278,2012-12-16,2013-09-24
9382000,6409.0,372,2018-01-11,2019-01-18
9382000,10367.0,576,2020-09-24,2022-08-22
9152500,109.0,16,1983-04-16,1983-05-01
9152500,67.0,11,1983-05-18,1983-05-28
9152500,67.0,31,1984-03-11,1984-04-10
9152500,62.0,28,1988-03-18,1988-04-14
9152500,25.0,8,1988-05-09,1988-05-16
9152500,19.0,9,1988-05-26,1988-06-04
9152500,151.0,36,1988-07-30,1988-09-04
9152500,8.0,11,1989-02-28,1989-03-10
9152500,25.0,17,1989-06-03,1989-06-20
9152500,26.0,36,1989-07-12,1989-08-24
9152500,4988.0,405,1989-08-30,1990-10-08
9152500,424.0,39,1991-04-18,1991-05-26
9152500,1012.0,148,1991-10-21,1992-03-16
9152500,9.0,5,1994-04-17,1994-04-21
9152500,86.0,14,1994-04-29,1994-05-12
9152500,870.0,129,1994-08-25,1994-12-31
9152500,125.0,24,1996-09-10,1996-10-03
9152500,160.0,18,1999-04-17,1999-05-04
9152500,803.0,138,2000-06-04,2000-10-19
9152500,668.0,126,2001-01-01,2001-05-09
9152500,647.0,94,2001-05-29,2001-08-30
9152500,91.0,51,2001-10-05,2001-11-24
9152500,5876.0,377,2002-02-02,2003-02-20
9152500,4.0,5,2003-09-06,2003-09-10
9152500,145.0,41,2004-08-14,2004-09-23
9152500,15.0,21,2006-06-21,2006-07-11
9152500,429.0,73,2007-06-07,2007-08-18
9152500,11.0,5,2009-04-12,2009-04-16
9152500,228.0,72,2009-09-25,2009-12-05
9152500,324.0,56,2010-02-21,2010-04-17
9152500,6984.0,460,2012-05-01,2013-08-03
9152500,15.0,7,2016-05-04,2016-05-11
9152500,6.0,5,2016-05-15,2016-05-19
9152500,736.0,97,2016-11-24,2017-03-11
9152500,51.0,13,2017-05-21,2017-06-02
