USGS_ID,Lat,Lon,region,D_5,D_10,D_20,D_50,D_100,S_5,S_10,S_20,S_50,S_100
9371520,37.32666,-108.700653,9-Southwest,,,,,,,,,,
9431500,32.726944,-108.675556,9-Southwest,184.0,321.0,488.0,750.0,978.0,1058.0,1727.0,2485.0,3606.0,4537.0
9371492,37.312772,-108.661207,9-Southwest,,,,,,,,,,
9430600,33.166667,-108.649722,9-Southwest,120.0,203.0,303.0,458.0,590.0,977.0,1533.0,2116.0,2914.0,3531.0
9386900,35.282553,-108.552975,9-Southwest,50.0,79.0,112.0,160.0,201.0,1194.0,1917.0,2730.0,3920.0,4898.0
9430500,33.061503,-108.537386,9-Southwest,54.0,80.0,107.0,145.0,174.0,1365.0,2137.0,2950.0,4064.0,4928.0
9166500,37.472493,-108.497591,8-Rocky Mountains,59.0,99.0,147.0,221.0,284.0,1154.0,1902.0,2762.0,4045.0,5120.0
9166950,37.446105,-108.469256,8-Rocky Mountains,,,,,,,,,,
9209400,42.192722,-110.163214,8-Rocky Mountains,41.0,66.0,96.0,143.0,182.0,871.0,1394.0,1950.0,2715.0,3311.0
9188500,43.019417,-110.118611,8-Rocky Mountains,54.0,79.0,105.0,140.0,167.0,659.0,1045.0,1472.0,2091.0,2597.0
9205000,42.567166,-109.930151,8-Rocky Mountains,71.0,116.0,168.0,247.0,314.0,736.0,1278.0,1929.0,2942.0,3817.0
9217000,41.516354,-109.449023,8-Rocky Mountains,114.0,179.0,247.0,340.0,413.0,2024.0,3746.0,5704.0,8519.0,10771.0
9234500,40.908293,-109.422914,11-California and interior west,93.0,158.0,234.0,352.0,453.0,1305.0,2109.0,2966.0,4150.0,5075.0
9152500,38.983316,-108.450645,11-California and interior west,439.0,1046.0,2000.0,3889.0,5857.0,7270.0,16895.0,31619.0,60103.0,89291.0
9106150,39.098592,-108.355086,11-California and interior west,,,,,,,,,,
9095500,39.239146,-108.266195,11-California and interior west,69.0,111.0,156.0,218.0,267.0,1101.0,1987.0,2985.0,4412.0,5541.0
9365000,36.723017,-108.225589,8-Rocky Mountains,48.0,79.0,116.0,173.0,222.0,695.0,1015.0,1341.0,1777.0,2108.0
9364500,36.7225,-108.20175,8-Rocky Mountains,57.0,94.0,138.0,206.0,263.0,1287.0,2099.0,3021.0,4382.0,5510.0
9144250,38.753039,-108.078403,8-Rocky Mountains,453.0,1045.0,1953.0,3722.0,5543.0,3170.0,5784.0,8722.0,12905.0,16228.0
9251000,40.502747,-108.033415,11-California and interior west,42.0,67.0,95.0,133.0,163.0,1796.0,3065.0,4559.0,6835.0,8767.0
9355500,36.801889,-107.698639,8-Rocky Mountains,70.0,108.0,148.0,202.0,245.0,2909.0,4536.0,6239.0,8569.0,10374.0
9247600,40.480805,-107.614234,8-Rocky Mountains,,,,,,,,,,
9346400,37.013617,-107.312267,8-Rocky Mountains,54.0,88.0,125.0,176.0,216.0,1017.0,1693.0,2424.0,3442.0,4238.0
9070500,39.644611,-107.078014,8-Rocky Mountains,54.0,96.0,143.0,211.0,265.0,1246.0,2129.0,3168.0,4757.0,6112.0
9312600,39.875793,-111.037388,11-California and interior west,78.0,125.0,175.0,245.0,299.0,2813.0,4595.0,6499.0,9135.0,11186.0
9288000,40.200231,-110.907662,11-California and interior west,,,,,,,,,,
9223000,42.110889,-110.709417,8-Rocky Mountains,70.0,106.0,145.0,198.0,239.0,1891.0,3137.0,4568.0,6713.0,8511.0
9277500,40.30023,-110.602381,11-California and interior west,39.0,58.0,79.0,107.0,128.0,2116.0,3673.0,5533.0,8406.0,10880.0
9217900,40.959028,-110.579722,11-California and interior west,,,,,,,,,,
9279000,40.49328,-110.578217,11-California and interior west,43.0,66.0,91.0,126.0,153.0,946.0,1472.0,2022.0,2773.0,3351.0
9288180,40.154679,-110.554879,11-California and interior west,115.0,204.0,315.0,492.0,648.0,889.0,1398.0,1932.0,2662.0,3227.0
9289500,40.606612,-110.527107,11-California and interior west,44.0,68.0,94.0,130.0,158.0,832.0,1567.0,2513.0,4081.0,5494.0
9291000,40.556336,-110.484606,11-California and interior west,46.0,73.0,102.0,142.0,173.0,863.0,1472.0,2195.0,3312.0,4263.0
9210500,42.095806,-110.416083,8-Rocky Mountains,30.0,46.0,65.0,90.0,109.0,910.0,1480.0,2090.0,2934.0,3592.0
9220000,41.053861,-110.398639,8-Rocky Mountains,,,,,,,,,,
9292500,40.511893,-110.341549,11-California and interior west,186.0,391.0,682.0,1212.0,1727.0,3304.0,5978.0,9281.0,14551.0,19190.0
9292000,40.546337,-110.333771,11-California and interior west,,,,,,,,,,
9296800,40.59134,-110.114323,11-California and interior west,,,,,,,,,,
9295000,40.200238,-110.063761,11-California and interior west,,,,,,,,,,
9211200,42.020972,-110.049806,8-Rocky Mountains,141.0,246.0,374.0,576.0,750.0,1986.0,3398.0,4943.0,7115.0,8826.0
9295100,40.206628,-109.859867,11-California and interior west,,,,,,,,,,
9301500,40.233572,-109.803755,11-California and interior west,,,,,,,,,,
9302000,40.210278,-109.781389,11-California and interior west,71.0,113.0,159.0,228.0,284.0,2085.0,3828.0,6022.0,9591.0,12768.0
9196500,43.027056,-109.773528,8-Rocky Mountains,,,,,,,,,,
9224700,41.546072,-109.693475,8-Rocky Mountains,259.0,574.0,1036.0,1898.0,2757.0,2902.0,5992.0,10247.0,17729.0,24798.0
9229500,41.011,-109.6735,8-Rocky Mountains,,,,,,,,,,
9266500,40.577458,-109.622086,11-California and interior west,142.0,289.0,495.0,858.0,1205.0,1506.0,2638.0,3887.0,5656.0,7050.0
9261700,40.588848,-109.465414,11-California and interior west,59.0,93.0,132.0,189.0,237.0,990.0,1717.0,2586.0,3926.0,5080.0
9306290,40.179693,-108.565377,11-California and interior west,,,,,,,,,,
9260050,40.451634,-108.525101,11-California and interior west,,,,,,,,,,
9174600,38.244157,-108.502034,9-Southwest,,,,,,,,,,
9306242,39.92025,-108.472872,11-California and interior west,131.0,205.0,282.0,387.0,469.0,4956.0,10314.0,17766.0,30949.0,43502.0
9260000,40.549017,-108.424322,11-California and interior west,48.0,73.0,100.0,136.0,164.0,901.0,1460.0,2058.0,2886.0,3530.0
9306255,40.168581,-108.401205,11-California and interior west,,,,,,,,,,
9306200,39.921083,-108.297588,11-California and interior west,40.0,68.0,102.0,157.0,206.0,892.0,1435.0,2046.0,2943.0,3679.0
9105000,39.183611,-108.268333,11-California and interior west,,,,,,,,,,
9306222,40.078026,-108.236475,11-California and interior west,67.0,99.0,133.0,181.0,219.0,1818.0,3125.0,4675.0,7055.0,9082.0
9172500,38.0425,-108.133333,8-Rocky Mountains,41.0,63.0,86.0,121.0,149.0,672.0,1095.0,1575.0,2290.0,2883.0
9304800,40.022583,-108.119944,11-California and interior west,49.0,80.0,114.0,160.0,197.0,705.0,1136.0,1622.0,2340.0,2931.0
